"Lon","Lat","impact","lon2","seizure"
-179.25,-43.75,3,180.75,"FEITOSA_COI"
-179.25,-43.25,7,180.75,"FEITOSA_COI"
-179.25,-42.75,2,180.75,"FEITOSA_COI"
-179.25,-41.25,1,180.75,"FEITOSA_COI"
-179.25,-40.75,2,180.75,"FEITOSA_COI"
-179.25,-39.75,2,180.75,"FEITOSA_COI"
-179.25,-39.25,1,180.75,"FEITOSA_COI"
-179.25,-37.25,1,180.75,"FEITOSA_COI"
-179.25,-35.75,1,180.75,"FEITOSA_COI"
-179.25,-34.75,2,180.75,"FEITOSA_COI"
-179.25,-34.25,2,180.75,"FEITOSA_COI"
-179.25,-33.75,2,180.75,"FEITOSA_COI"
-179.25,-33.25,1,180.75,"FEITOSA_COI"
-179.25,-31.75,3,180.75,"FEITOSA_COI"
-179.25,-30.25,2,180.75,"FEITOSA_COI"
-179.25,-29.75,2,180.75,"FEITOSA_COI"
-179.25,-29.25,2,180.75,"FEITOSA_COI"
-179.25,-28.75,2,180.75,"FEITOSA_COI"
-179.25,-28.25,1,180.75,"FEITOSA_COI"
-179.25,-26.25,2,180.75,"FEITOSA_COI"
-179.25,-25.75,2,180.75,"FEITOSA_COI"
-179.25,-24.75,2,180.75,"FEITOSA_COI"
-179.25,-24.25,1,180.75,"FEITOSA_COI"
-179.25,-23.75,3,180.75,"FEITOSA_COI"
-179.25,-23.25,1,180.75,"FEITOSA_COI"
-179.25,-22.75,1,180.75,"FEITOSA_COI"
-179.25,-22.25,1,180.75,"FEITOSA_COI"
-179.25,-21.75,1,180.75,"FEITOSA_COI"
-179.25,-21.25,2,180.75,"FEITOSA_COI"
-179.25,-20.75,1,180.75,"FEITOSA_COI"
-179.25,-19.25,3,180.75,"FEITOSA_COI"
-179.25,-18.25,3,180.75,"FEITOSA_COI"
-179.25,-17.75,4,180.75,"FEITOSA_COI"
-179.25,-17.25,1,180.75,"FEITOSA_COI"
-179.25,-16.25,1,180.75,"FEITOSA_COI"
-179.25,-14.75,1,180.75,"FEITOSA_COI"
-179.25,-12.25,1,180.75,"FEITOSA_COI"
-179.25,-9.75,2,180.75,"FEITOSA_COI"
-179.25,-7.75,1,180.75,"FEITOSA_COI"
-179.25,-7.25,2,180.75,"FEITOSA_COI"
-179.25,-6.25,3,180.75,"FEITOSA_COI"
-179.25,-5.25,2,180.75,"FEITOSA_COI"
-179.25,-3.25,1,180.75,"FEITOSA_COI"
-179.25,-2.25,1,180.75,"FEITOSA_COI"
-179.25,-1.75,2,180.75,"FEITOSA_COI"
-179.25,-1.25,1,180.75,"FEITOSA_COI"
-179.25,0.25,1,180.75,"FEITOSA_COI"
-179.25,0.75,1,180.75,"FEITOSA_COI"
-179.25,1.25,1,180.75,"FEITOSA_COI"
-179.25,2.25,1,180.75,"FEITOSA_COI"
-179.25,3.25,1,180.75,"FEITOSA_COI"
-179.25,3.75,1,180.75,"FEITOSA_COI"
-179.25,4.75,1,180.75,"FEITOSA_COI"
-179.25,5.75,3,180.75,"FEITOSA_COI"
-179.25,6.25,1,180.75,"FEITOSA_COI"
-179.25,6.75,1,180.75,"FEITOSA_COI"
-179.25,7.25,1,180.75,"FEITOSA_COI"
-179.25,8.25,1,180.75,"FEITOSA_COI"
-179.25,11.25,1,180.75,"FEITOSA_COI"
-179.25,12.75,2,180.75,"FEITOSA_COI"
-179.25,14.25,2,180.75,"FEITOSA_COI"
-179.25,14.75,1,180.75,"FEITOSA_COI"
-179.25,15.25,2,180.75,"FEITOSA_COI"
-179.25,16.75,1,180.75,"FEITOSA_COI"
-179.25,17.25,1,180.75,"FEITOSA_COI"
-179.25,17.75,1,180.75,"FEITOSA_COI"
-179.25,18.25,2,180.75,"FEITOSA_COI"
-179.25,21.25,2,180.75,"FEITOSA_COI"
-179.25,22.25,1,180.75,"FEITOSA_COI"
-179.25,23.25,2,180.75,"FEITOSA_COI"
-179.25,23.75,2,180.75,"FEITOSA_COI"
-179.25,27.25,2,180.75,"FEITOSA_COI"
-179.25,27.75,1,180.75,"FEITOSA_COI"
-179.25,29.75,1,180.75,"FEITOSA_COI"
-179.25,30.75,1,180.75,"FEITOSA_COI"
-179.25,31.75,1,180.75,"FEITOSA_COI"
-179.25,32.25,2,180.75,"FEITOSA_COI"
-179.25,33.25,1,180.75,"FEITOSA_COI"
-179.25,34.75,2,180.75,"FEITOSA_COI"
-179.25,37.25,1,180.75,"FEITOSA_COI"
-179.25,38.25,1,180.75,"FEITOSA_COI"
-179.25,39.75,1,180.75,"FEITOSA_COI"
-179.25,42.25,1,180.75,"FEITOSA_COI"
-179.25,44.25,1,180.75,"FEITOSA_COI"
-179.25,44.75,1,180.75,"FEITOSA_COI"
-179.25,45.25,1,180.75,"FEITOSA_COI"
-179.25,46.25,2,180.75,"FEITOSA_COI"
-178.75,-44.25,1,181.25,"FEITOSA_COI"
-178.75,-43.75,2,181.25,"FEITOSA_COI"
-178.75,-43.25,5,181.25,"FEITOSA_COI"
-178.75,-42.75,2,181.25,"FEITOSA_COI"
-178.75,-41.75,1,181.25,"FEITOSA_COI"
-178.75,-41.25,2,181.25,"FEITOSA_COI"
-178.75,-40.75,2,181.25,"FEITOSA_COI"
-178.75,-39.25,3,181.25,"FEITOSA_COI"
-178.75,-37.25,1,181.25,"FEITOSA_COI"
-178.75,-36.75,3,181.25,"FEITOSA_COI"
-178.75,-35.75,1,181.25,"FEITOSA_COI"
-178.75,-33.75,1,181.25,"FEITOSA_COI"
-178.75,-33.25,3,181.25,"FEITOSA_COI"
-178.75,-32.75,4,181.25,"FEITOSA_COI"
-178.75,-32.25,1,181.25,"FEITOSA_COI"
-178.75,-31.75,1,181.25,"FEITOSA_COI"
-178.75,-31.25,1,181.25,"FEITOSA_COI"
-178.75,-30.75,1,181.25,"FEITOSA_COI"
-178.75,-29.75,2,181.25,"FEITOSA_COI"
-178.75,-29.25,1,181.25,"FEITOSA_COI"
-178.75,-27.75,1,181.25,"FEITOSA_COI"
-178.75,-27.25,1,181.25,"FEITOSA_COI"
-178.75,-26.75,1,181.25,"FEITOSA_COI"
-178.75,-26.25,2,181.25,"FEITOSA_COI"
-178.75,-25.75,1,181.25,"FEITOSA_COI"
-178.75,-24.75,3,181.25,"FEITOSA_COI"
-178.75,-24.25,3,181.25,"FEITOSA_COI"
-178.75,-23.75,1,181.25,"FEITOSA_COI"
-178.75,-23.25,4,181.25,"FEITOSA_COI"
-178.75,-22.75,1,181.25,"FEITOSA_COI"
-178.75,-21.25,1,181.25,"FEITOSA_COI"
-178.75,-20.75,4,181.25,"FEITOSA_COI"
-178.75,-19.75,1,181.25,"FEITOSA_COI"
-178.75,-18.75,3,181.25,"FEITOSA_COI"
-178.75,-18.25,16,181.25,"FEITOSA_COI"
-178.75,-17.75,9,181.25,"FEITOSA_COI"
-178.75,-17.25,12,181.25,"FEITOSA_COI"
-178.75,-16.75,3,181.25,"FEITOSA_COI"
-178.75,-14.75,1,181.25,"FEITOSA_COI"
-178.75,-11.75,1,181.25,"FEITOSA_COI"
-178.75,-11.25,1,181.25,"FEITOSA_COI"
-178.75,-8.75,1,181.25,"FEITOSA_COI"
-178.75,-7.75,1,181.25,"FEITOSA_COI"
-178.75,-6.25,1,181.25,"FEITOSA_COI"
-178.75,-3.75,2,181.25,"FEITOSA_COI"
-178.75,-2.25,1,181.25,"FEITOSA_COI"
-178.75,-1.75,2,181.25,"FEITOSA_COI"
-178.75,-1.25,1,181.25,"FEITOSA_COI"
-178.75,-0.75,2,181.25,"FEITOSA_COI"
-178.75,-0.25,1,181.25,"FEITOSA_COI"
-178.75,0.25,3,181.25,"FEITOSA_COI"
-178.75,0.75,1,181.25,"FEITOSA_COI"
-178.75,1.75,2,181.25,"FEITOSA_COI"
-178.75,2.25,1,181.25,"FEITOSA_COI"
-178.75,2.75,2,181.25,"FEITOSA_COI"
-178.75,4.25,1,181.25,"FEITOSA_COI"
-178.75,5.25,1,181.25,"FEITOSA_COI"
-178.75,5.75,2,181.25,"FEITOSA_COI"
-178.75,6.25,1,181.25,"FEITOSA_COI"
-178.75,6.75,2,181.25,"FEITOSA_COI"
-178.75,7.25,1,181.25,"FEITOSA_COI"
-178.75,9.75,2,181.25,"FEITOSA_COI"
-178.75,11.25,2,181.25,"FEITOSA_COI"
-178.75,11.75,1,181.25,"FEITOSA_COI"
-178.75,13.25,2,181.25,"FEITOSA_COI"
-178.75,14.25,1,181.25,"FEITOSA_COI"
-178.75,15.25,2,181.25,"FEITOSA_COI"
-178.75,16.75,1,181.25,"FEITOSA_COI"
-178.75,17.25,1,181.25,"FEITOSA_COI"
-178.75,18.25,3,181.25,"FEITOSA_COI"
-178.75,18.75,3,181.25,"FEITOSA_COI"
-178.75,19.75,4,181.25,"FEITOSA_COI"
-178.75,20.25,2,181.25,"FEITOSA_COI"
-178.75,21.25,1,181.25,"FEITOSA_COI"
-178.75,22.25,2,181.25,"FEITOSA_COI"
-178.75,22.75,1,181.25,"FEITOSA_COI"
-178.75,23.25,1,181.25,"FEITOSA_COI"
-178.75,23.75,1,181.25,"FEITOSA_COI"
-178.75,27.25,2,181.25,"FEITOSA_COI"
-178.75,28.75,2,181.25,"FEITOSA_COI"
-178.75,29.25,2,181.25,"FEITOSA_COI"
-178.75,29.75,2,181.25,"FEITOSA_COI"
-178.75,30.25,1,181.25,"FEITOSA_COI"
-178.75,31.25,1,181.25,"FEITOSA_COI"
-178.75,33.75,1,181.25,"FEITOSA_COI"
