"Lon","Lat","impact","lon2","seizure"
-179.25,-43.75,1,180.75,"MBA_CR"
-179.25,-42.75,1,180.75,"MBA_CR"
-179.25,-40.75,2,180.75,"MBA_CR"
-179.25,-39.75,1,180.75,"MBA_CR"
-179.25,-39.25,1,180.75,"MBA_CR"
-179.25,-34.75,1,180.75,"MBA_CR"
-179.25,-34.25,1,180.75,"MBA_CR"
-179.25,-33.75,5,180.75,"MBA_CR"
-179.25,-33.25,4,180.75,"MBA_CR"
-179.25,-32.75,2,180.75,"MBA_CR"
-179.25,-32.25,4,180.75,"MBA_CR"
-179.25,-31.75,3,180.75,"MBA_CR"
-179.25,-31.25,1,180.75,"MBA_CR"
-179.25,-30.75,3,180.75,"MBA_CR"
-179.25,-30.25,2,180.75,"MBA_CR"
-179.25,-29.75,1,180.75,"MBA_CR"
-179.25,-29.25,1,180.75,"MBA_CR"
-179.25,-28.75,2,180.75,"MBA_CR"
-179.25,-28.25,4,180.75,"MBA_CR"
-179.25,-27.25,2,180.75,"MBA_CR"
-179.25,-26.75,4,180.75,"MBA_CR"
-179.25,-26.25,1,180.75,"MBA_CR"
-179.25,-25.75,1,180.75,"MBA_CR"
-179.25,-25.25,2,180.75,"MBA_CR"
-179.25,-24.75,7,180.75,"MBA_CR"
-179.25,-24.25,1,180.75,"MBA_CR"
-179.25,-23.75,1,180.75,"MBA_CR"
-179.25,-22.75,3,180.75,"MBA_CR"
-179.25,-22.25,3,180.75,"MBA_CR"
-179.25,-21.25,4,180.75,"MBA_CR"
-179.25,-20.75,1,180.75,"MBA_CR"
-179.25,-20.25,1,180.75,"MBA_CR"
-179.25,-19.75,5,180.75,"MBA_CR"
-179.25,-19.25,1,180.75,"MBA_CR"
-179.25,-18.75,1,180.75,"MBA_CR"
-179.25,-18.25,1,180.75,"MBA_CR"
-179.25,-17.75,5,180.75,"MBA_CR"
-179.25,-17.25,3,180.75,"MBA_CR"
-179.25,-16.25,5,180.75,"MBA_CR"
-179.25,-15.25,1,180.75,"MBA_CR"
-179.25,-14.75,4,180.75,"MBA_CR"
-179.25,-14.25,5,180.75,"MBA_CR"
-179.25,-13.25,4,180.75,"MBA_CR"
-179.25,-12.75,1,180.75,"MBA_CR"
-179.25,-12.25,3,180.75,"MBA_CR"
-179.25,-11.75,1,180.75,"MBA_CR"
-179.25,-10.25,5,180.75,"MBA_CR"
-179.25,-9.75,1,180.75,"MBA_CR"
-179.25,-8.25,1,180.75,"MBA_CR"
-179.25,-7.25,1,180.75,"MBA_CR"
-179.25,-5.25,1,180.75,"MBA_CR"
-179.25,-3.25,1,180.75,"MBA_CR"
-179.25,-0.75,1,180.75,"MBA_CR"
-179.25,1.75,1,180.75,"MBA_CR"
-179.25,3.25,1,180.75,"MBA_CR"
-179.25,5.75,1,180.75,"MBA_CR"
-179.25,6.25,1,180.75,"MBA_CR"
-179.25,10.25,1,180.75,"MBA_CR"
-179.25,11.75,1,180.75,"MBA_CR"
-179.25,12.25,1,180.75,"MBA_CR"
-179.25,13.75,3,180.75,"MBA_CR"
-179.25,14.75,3,180.75,"MBA_CR"
-179.25,15.25,1,180.75,"MBA_CR"
-179.25,15.75,2,180.75,"MBA_CR"
-179.25,16.25,1,180.75,"MBA_CR"
-179.25,18.25,1,180.75,"MBA_CR"
-179.25,18.75,2,180.75,"MBA_CR"
-179.25,19.25,2,180.75,"MBA_CR"
-179.25,20.25,1,180.75,"MBA_CR"
-179.25,21.75,1,180.75,"MBA_CR"
-179.25,22.75,1,180.75,"MBA_CR"
-179.25,24.25,1,180.75,"MBA_CR"
-179.25,25.75,2,180.75,"MBA_CR"
-179.25,26.25,1,180.75,"MBA_CR"
-179.25,26.75,1,180.75,"MBA_CR"
-179.25,28.25,1,180.75,"MBA_CR"
-179.25,28.75,2,180.75,"MBA_CR"
-179.25,32.25,1,180.75,"MBA_CR"
-179.25,32.75,2,180.75,"MBA_CR"
-179.25,34.25,1,180.75,"MBA_CR"
-179.25,37.75,1,180.75,"MBA_CR"
-179.25,39.25,1,180.75,"MBA_CR"
-179.25,50.25,2,180.75,"MBA_CR"
-178.75,-43.25,1,181.25,"MBA_CR"
-178.75,-39.75,1,181.25,"MBA_CR"
-178.75,-37.75,1,181.25,"MBA_CR"
-178.75,-36.75,3,181.25,"MBA_CR"
-178.75,-36.25,2,181.25,"MBA_CR"
-178.75,-32.75,2,181.25,"MBA_CR"
-178.75,-32.25,1,181.25,"MBA_CR"
-178.75,-31.75,2,181.25,"MBA_CR"
-178.75,-31.25,5,181.25,"MBA_CR"
-178.75,-30.75,1,181.25,"MBA_CR"
-178.75,-29.75,5,181.25,"MBA_CR"
-178.75,-29.25,2,181.25,"MBA_CR"
-178.75,-28.75,1,181.25,"MBA_CR"
-178.75,-28.25,2,181.25,"MBA_CR"
-178.75,-27.75,1,181.25,"MBA_CR"
-178.75,-27.25,1,181.25,"MBA_CR"
-178.75,-26.75,6,181.25,"MBA_CR"
-178.75,-25.75,2,181.25,"MBA_CR"
-178.75,-25.25,3,181.25,"MBA_CR"
-178.75,-24.75,3,181.25,"MBA_CR"
-178.75,-24.25,2,181.25,"MBA_CR"
-178.75,-23.75,8,181.25,"MBA_CR"
-178.75,-23.25,3,181.25,"MBA_CR"
-178.75,-22.75,2,181.25,"MBA_CR"
-178.75,-22.25,5,181.25,"MBA_CR"
-178.75,-21.75,5,181.25,"MBA_CR"
-178.75,-21.25,5,181.25,"MBA_CR"
-178.75,-20.75,7,181.25,"MBA_CR"
-178.75,-20.25,3,181.25,"MBA_CR"
-178.75,-19.75,1,181.25,"MBA_CR"
-178.75,-19.25,3,181.25,"MBA_CR"
-178.75,-18.75,7,181.25,"MBA_CR"
-178.75,-18.25,31,181.25,"MBA_CR"
-178.75,-17.75,12,181.25,"MBA_CR"
-178.75,-17.25,30,181.25,"MBA_CR"
-178.75,-16.75,5,181.25,"MBA_CR"
-178.75,-16.25,1,181.25,"MBA_CR"
-178.75,-15.75,3,181.25,"MBA_CR"
-178.75,-15.25,3,181.25,"MBA_CR"
-178.75,-14.75,2,181.25,"MBA_CR"
-178.75,-13.75,1,181.25,"MBA_CR"
-178.75,-12.75,2,181.25,"MBA_CR"
-178.75,-11.75,4,181.25,"MBA_CR"
