"Lon","Lat","impact","lon2","seizure"
-179.25,-44.25,1,180.75,"STEINKE_COI"
-179.25,-36.75,2,180.75,"STEINKE_COI"
-179.25,-36.25,1,180.75,"STEINKE_COI"
-179.25,-34.75,1,180.75,"STEINKE_COI"
-179.25,-21.25,1,180.75,"STEINKE_COI"
-179.25,-15.75,1,180.75,"STEINKE_COI"
-179.25,-8.75,1,180.75,"STEINKE_COI"
-179.25,-8.25,1,180.75,"STEINKE_COI"
-179.25,-6.25,1,180.75,"STEINKE_COI"
-179.25,-3.25,1,180.75,"STEINKE_COI"
-179.25,2.25,1,180.75,"STEINKE_COI"
-179.25,10.75,1,180.75,"STEINKE_COI"
-179.25,16.75,1,180.75,"STEINKE_COI"
-179.25,17.25,1,180.75,"STEINKE_COI"
-179.25,29.75,1,180.75,"STEINKE_COI"
-179.25,36.25,1,180.75,"STEINKE_COI"
-179.25,44.75,1,180.75,"STEINKE_COI"
-178.75,-47.75,1,181.25,"STEINKE_COI"
-178.75,-36.25,1,181.25,"STEINKE_COI"
-178.75,-34.75,2,181.25,"STEINKE_COI"
-178.75,-33.75,1,181.25,"STEINKE_COI"
-178.75,-32.75,1,181.25,"STEINKE_COI"
-178.75,-29.75,2,181.25,"STEINKE_COI"
-178.75,-18.25,1,181.25,"STEINKE_COI"
-178.75,-17.75,1,181.25,"STEINKE_COI"
-178.75,-17.25,1,181.25,"STEINKE_COI"
-178.75,-16.75,2,181.25,"STEINKE_COI"
-178.75,-7.25,1,181.25,"STEINKE_COI"
-178.75,-5.25,1,181.25,"STEINKE_COI"
-178.75,-4.25,1,181.25,"STEINKE_COI"
-178.75,6.75,1,181.25,"STEINKE_COI"
-178.75,7.75,1,181.25,"STEINKE_COI"
-178.75,14.75,1,181.25,"STEINKE_COI"
-178.75,18.25,1,181.25,"STEINKE_COI"
-178.75,19.75,1,181.25,"STEINKE_COI"
-178.75,26.25,1,181.25,"STEINKE_COI"
-178.75,36.25,1,181.25,"STEINKE_COI"
-178.75,38.75,1,181.25,"STEINKE_COI"
-178.75,44.25,1,181.25,"STEINKE_COI"
-178.25,-49.75,1,181.75,"STEINKE_COI"
-178.25,-39.75,1,181.75,"STEINKE_COI"
-178.25,-33.75,1,181.75,"STEINKE_COI"
-178.25,-22.25,1,181.75,"STEINKE_COI"
-178.25,-14.25,1,181.75,"STEINKE_COI"
-178.25,-1.75,1,181.75,"STEINKE_COI"
-178.25,-0.75,2,181.75,"STEINKE_COI"
-178.25,0.25,1,181.75,"STEINKE_COI"
-178.25,7.75,1,181.75,"STEINKE_COI"
-178.25,10.25,1,181.75,"STEINKE_COI"
-178.25,22.75,1,181.75,"STEINKE_COI"
-178.25,23.75,1,181.75,"STEINKE_COI"
-178.25,27.25,1,181.75,"STEINKE_COI"
-178.25,27.75,1,181.75,"STEINKE_COI"
-178.25,30.25,1,181.75,"STEINKE_COI"
-178.25,31.25,1,181.75,"STEINKE_COI"
-178.25,38.75,1,181.75,"STEINKE_COI"
-178.25,46.25,1,181.75,"STEINKE_COI"
-178.25,56.75,1,181.75,"STEINKE_COI"
-177.75,-46.75,1,182.25,"STEINKE_COI"
-177.75,-37.75,1,182.25,"STEINKE_COI"
-177.75,-36.25,1,182.25,"STEINKE_COI"
-177.75,-33.25,1,182.25,"STEINKE_COI"
-177.75,-31.25,1,182.25,"STEINKE_COI"
-177.75,-8.25,1,182.25,"STEINKE_COI"
-177.75,-5.25,1,182.25,"STEINKE_COI"
-177.75,-2.75,1,182.25,"STEINKE_COI"
-177.75,-1.25,1,182.25,"STEINKE_COI"
-177.75,2.75,1,182.25,"STEINKE_COI"
-177.75,14.25,1,182.25,"STEINKE_COI"
-177.75,20.75,1,182.25,"STEINKE_COI"
-177.75,21.75,1,182.25,"STEINKE_COI"
-177.75,22.25,1,182.25,"STEINKE_COI"
-177.75,23.25,1,182.25,"STEINKE_COI"
-177.75,23.75,1,182.25,"STEINKE_COI"
-177.75,31.25,1,182.25,"STEINKE_COI"
-177.75,33.25,1,182.25,"STEINKE_COI"
-177.75,42.75,1,182.25,"STEINKE_COI"
-177.25,-37.25,1,182.75,"STEINKE_COI"
-177.25,-31.75,1,182.75,"STEINKE_COI"
-177.25,-18.25,1,182.75,"STEINKE_COI"
-177.25,-16.25,1,182.75,"STEINKE_COI"
-177.25,-6.25,1,182.75,"STEINKE_COI"
-177.25,1.25,1,182.75,"STEINKE_COI"
-177.25,8.75,1,182.75,"STEINKE_COI"
-177.25,12.75,1,182.75,"STEINKE_COI"
-177.25,16.25,1,182.75,"STEINKE_COI"
-177.25,16.75,1,182.75,"STEINKE_COI"
-177.25,25.25,1,182.75,"STEINKE_COI"
-177.25,28.25,1,182.75,"STEINKE_COI"
-177.25,41.75,1,182.75,"STEINKE_COI"
-176.75,-55.25,1,183.25,"STEINKE_COI"
-176.75,-40.25,1,183.25,"STEINKE_COI"
-176.75,-35.75,1,183.25,"STEINKE_COI"
-176.75,-32.25,1,183.25,"STEINKE_COI"
-176.75,-19.25,1,183.25,"STEINKE_COI"
-176.75,-18.25,1,183.25,"STEINKE_COI"
-176.75,-16.25,1,183.25,"STEINKE_COI"
-176.75,-13.75,1,183.25,"STEINKE_COI"
-176.75,0.75,1,183.25,"STEINKE_COI"
-176.75,14.75,1,183.25,"STEINKE_COI"
-176.75,20.25,1,183.25,"STEINKE_COI"
-176.75,24.75,1,183.25,"STEINKE_COI"
-176.75,31.25,1,183.25,"STEINKE_COI"
-176.25,-54.75,1,183.75,"STEINKE_COI"
-176.25,-43.25,1,183.75,"STEINKE_COI"
-176.25,-38.25,1,183.75,"STEINKE_COI"
-176.25,-34.25,1,183.75,"STEINKE_COI"
-176.25,-33.25,1,183.75,"STEINKE_COI"
-176.25,-31.75,1,183.75,"STEINKE_COI"
-176.25,-26.25,1,183.75,"STEINKE_COI"
-176.25,-17.75,1,183.75,"STEINKE_COI"
-176.25,-5.75,1,183.75,"STEINKE_COI"
-176.25,-3.25,1,183.75,"STEINKE_COI"
-176.25,0.25,2,183.75,"STEINKE_COI"
-176.25,2.75,1,183.75,"STEINKE_COI"
-176.25,30.25,1,183.75,"STEINKE_COI"
-176.25,36.25,1,183.75,"STEINKE_COI"
-175.75,-41.75,1,184.25,"STEINKE_COI"
-175.75,-38.75,1,184.25,"STEINKE_COI"
-175.75,-36.75,1,184.25,"STEINKE_COI"
-175.75,-36.25,1,184.25,"STEINKE_COI"
-175.75,-29.25,1,184.25,"STEINKE_COI"
-175.75,-18.75,1,184.25,"STEINKE_COI"
-175.75,-15.75,1,184.25,"STEINKE_COI"
-175.75,1.75,1,184.25,"STEINKE_COI"
-175.75,4.75,1,184.25,"STEINKE_COI"
-175.75,18.75,1,184.25,"STEINKE_COI"
-175.75,22.25,1,184.25,"STEINKE_COI"
-175.75,25.25,1,184.25,"STEINKE_COI"
-175.75,28.75,1,184.25,"STEINKE_COI"
-175.75,29.25,1,184.25,"STEINKE_COI"
-175.75,45.25,1,184.25,"STEINKE_COI"
-175.25,-40.75,1,184.75,"STEINKE_COI"
-175.25,-38.25,1,184.75,"STEINKE_COI"
-175.25,-37.25,1,184.75,"STEINKE_COI"
-175.25,-35.25,1,184.75,"STEINKE_COI"
-175.25,-29.25,1,184.75,"STEINKE_COI"
-175.25,-27.25,1,184.75,"STEINKE_COI"
-175.25,-24.75,1,184.75,"STEINKE_COI"
-175.25,-21.25,1,184.75,"STEINKE_COI"
-175.25,-16.75,1,184.75,"STEINKE_COI"
