"Lon","Lat","impact","lon2","seizure"
-179.75,-48.75,5,180.25,"MBA_COI"
-179.75,-48.25,8,180.25,"MBA_COI"
-179.75,-47.75,5,180.25,"MBA_COI"
-179.75,-47.25,3,180.25,"MBA_COI"
-179.75,-44.25,4,180.25,"MBA_COI"
-179.75,-43.75,3,180.25,"MBA_COI"
-179.75,-43.25,2,180.25,"MBA_COI"
-179.75,-42.75,4,180.25,"MBA_COI"
-179.75,-36.75,2,180.25,"MBA_COI"
-179.75,-36.25,2,180.25,"MBA_COI"
-179.75,-35.75,2,180.25,"MBA_COI"
-179.75,-33.75,1,180.25,"MBA_COI"
-179.75,-33.25,1,180.25,"MBA_COI"
-179.75,-32.75,1,180.25,"MBA_COI"
-179.75,-32.25,1,180.25,"MBA_COI"
-179.75,-31.75,1,180.25,"MBA_COI"
-179.75,-31.25,2,180.25,"MBA_COI"
-179.75,-30.75,4,180.25,"MBA_COI"
-179.75,-30.25,1,180.25,"MBA_COI"
-179.75,-29.75,4,180.25,"MBA_COI"
-179.75,-28.75,3,180.25,"MBA_COI"
-179.75,-27.75,1,180.25,"MBA_COI"
-179.75,-27.25,2,180.25,"MBA_COI"
-179.75,-26.25,1,180.25,"MBA_COI"
-179.75,-24.75,2,180.25,"MBA_COI"
-179.75,-23.25,2,180.25,"MBA_COI"
-179.75,-22.75,1,180.25,"MBA_COI"
-179.75,-22.25,3,180.25,"MBA_COI"
-179.75,-21.25,2,180.25,"MBA_COI"
-179.75,-20.25,1,180.25,"MBA_COI"
-179.75,-19.75,1,180.25,"MBA_COI"
-179.75,-19.25,2,180.25,"MBA_COI"
-179.75,-18.75,13,180.25,"MBA_COI"
-179.75,-18.25,2,180.25,"MBA_COI"
-179.75,-17.25,11,180.25,"MBA_COI"
-179.75,-16.75,8,180.25,"MBA_COI"
-179.75,-16.25,9,180.25,"MBA_COI"
-179.75,-15.75,8,180.25,"MBA_COI"
-179.75,-14.25,1,180.25,"MBA_COI"
-179.75,-12.25,2,180.25,"MBA_COI"
-179.75,-11.75,3,180.25,"MBA_COI"
-179.75,-11.25,4,180.25,"MBA_COI"
-179.75,-8.75,1,180.25,"MBA_COI"
-179.75,-6.75,1,180.25,"MBA_COI"
-179.75,-5.75,2,180.25,"MBA_COI"
-179.75,-5.25,1,180.25,"MBA_COI"
-179.75,-4.25,2,180.25,"MBA_COI"
-179.75,-2.75,2,180.25,"MBA_COI"
-179.75,-1.75,3,180.25,"MBA_COI"
-179.75,-0.75,1,180.25,"MBA_COI"
-179.75,1.25,1,180.25,"MBA_COI"
-179.75,1.75,2,180.25,"MBA_COI"
-179.75,2.25,1,180.25,"MBA_COI"
-179.75,3.25,1,180.25,"MBA_COI"
-179.75,3.75,1,180.25,"MBA_COI"
-179.75,4.75,1,180.25,"MBA_COI"
-179.75,5.25,1,180.25,"MBA_COI"
-179.75,5.75,2,180.25,"MBA_COI"
-179.75,6.25,1,180.25,"MBA_COI"
-179.75,8.25,1,180.25,"MBA_COI"
-179.75,8.75,2,180.25,"MBA_COI"
-179.75,9.25,1,180.25,"MBA_COI"
-179.75,9.75,1,180.25,"MBA_COI"
-179.75,12.25,1,180.25,"MBA_COI"
-179.75,13.25,1,180.25,"MBA_COI"
-179.75,13.75,1,180.25,"MBA_COI"
-179.75,19.25,3,180.25,"MBA_COI"
-179.75,19.75,1,180.25,"MBA_COI"
-179.75,21.75,1,180.25,"MBA_COI"
-179.75,22.25,1,180.25,"MBA_COI"
-179.75,22.75,3,180.25,"MBA_COI"
-179.75,23.25,1,180.25,"MBA_COI"
