"Lon","Lat","impact","lon2","seizure"
-179.75,-58.75,1,180.25,"STEINKE_COI"
-179.75,-54.75,1,180.25,"STEINKE_COI"
-179.75,-52.25,1,180.25,"STEINKE_COI"
-179.75,-51.75,1,180.25,"STEINKE_COI"
-179.75,-49.25,1,180.25,"STEINKE_COI"
-179.75,-48.75,4,180.25,"STEINKE_COI"
-179.75,-48.25,3,180.25,"STEINKE_COI"
-179.75,-47.75,3,180.25,"STEINKE_COI"
-179.75,-47.25,1,180.25,"STEINKE_COI"
-179.75,-46.25,2,180.25,"STEINKE_COI"
-179.75,-45.75,1,180.25,"STEINKE_COI"
-179.75,-45.25,1,180.25,"STEINKE_COI"
-179.75,-44.75,1,180.25,"STEINKE_COI"
-179.75,-44.25,6,180.25,"STEINKE_COI"
-179.75,-43.75,4,180.25,"STEINKE_COI"
-179.75,-43.25,3,180.25,"STEINKE_COI"
-179.75,-42.75,4,180.25,"STEINKE_COI"
-179.75,-42.25,2,180.25,"STEINKE_COI"
-179.75,-41.75,2,180.25,"STEINKE_COI"
-179.75,-41.25,2,180.25,"STEINKE_COI"
-179.75,-39.75,3,180.25,"STEINKE_COI"
-179.75,-39.25,1,180.25,"STEINKE_COI"
-179.75,-38.75,1,180.25,"STEINKE_COI"
-179.75,-38.25,1,180.25,"STEINKE_COI"
-179.75,-37.25,1,180.25,"STEINKE_COI"
-179.75,-36.75,1,180.25,"STEINKE_COI"
-179.75,-36.25,2,180.25,"STEINKE_COI"
-179.75,-35.75,1,180.25,"STEINKE_COI"
-179.75,-35.25,2,180.25,"STEINKE_COI"
-179.75,-34.25,1,180.25,"STEINKE_COI"
-179.75,-33.75,2,180.25,"STEINKE_COI"
-179.75,-33.25,2,180.25,"STEINKE_COI"
-179.75,-32.75,5,180.25,"STEINKE_COI"
-179.75,-31.75,2,180.25,"STEINKE_COI"
-179.75,-31.25,2,180.25,"STEINKE_COI"
-179.75,-30.75,1,180.25,"STEINKE_COI"
-179.75,-30.25,3,180.25,"STEINKE_COI"
-179.75,-29.75,2,180.25,"STEINKE_COI"
-179.75,-28.75,3,180.25,"STEINKE_COI"
-179.75,-27.75,2,180.25,"STEINKE_COI"
-179.75,-27.25,6,180.25,"STEINKE_COI"
-179.75,-26.25,1,180.25,"STEINKE_COI"
-179.75,-25.25,3,180.25,"STEINKE_COI"
-179.75,-24.25,1,180.25,"STEINKE_COI"
-179.75,-23.25,3,180.25,"STEINKE_COI"
-179.75,-22.75,3,180.25,"STEINKE_COI"
-179.75,-22.25,1,180.25,"STEINKE_COI"
-179.75,-21.75,2,180.25,"STEINKE_COI"
-179.75,-21.25,2,180.25,"STEINKE_COI"
-179.75,-20.75,1,180.25,"STEINKE_COI"
-179.75,-19.25,1,180.25,"STEINKE_COI"
-179.75,-18.75,21,180.25,"STEINKE_COI"
-179.75,-18.25,3,180.25,"STEINKE_COI"
-179.75,-17.75,3,180.25,"STEINKE_COI"
-179.75,-17.25,9,180.25,"STEINKE_COI"
-179.75,-16.75,26,180.25,"STEINKE_COI"
-179.75,-16.25,19,180.25,"STEINKE_COI"
-179.75,-15.75,20,180.25,"STEINKE_COI"
-179.75,-12.25,2,180.25,"STEINKE_COI"
-179.75,-11.75,3,180.25,"STEINKE_COI"
-179.75,-5.25,1,180.25,"STEINKE_COI"
-179.75,-3.75,1,180.25,"STEINKE_COI"
-179.75,-1.75,1,180.25,"STEINKE_COI"
-179.75,-1.25,3,180.25,"STEINKE_COI"
-179.75,0.25,1,180.25,"STEINKE_COI"
-179.75,1.25,1,180.25,"STEINKE_COI"
-179.75,3.75,2,180.25,"STEINKE_COI"
-179.75,4.25,3,180.25,"STEINKE_COI"
-179.75,5.75,1,180.25,"STEINKE_COI"
-179.75,7.25,1,180.25,"STEINKE_COI"
-179.75,8.75,1,180.25,"STEINKE_COI"
-179.75,9.25,1,180.25,"STEINKE_COI"
-179.75,11.25,1,180.25,"STEINKE_COI"
-179.75,12.25,1,180.25,"STEINKE_COI"
-179.75,13.25,1,180.25,"STEINKE_COI"
-179.75,15.25,1,180.25,"STEINKE_COI"
-179.75,16.25,1,180.25,"STEINKE_COI"
-179.75,16.75,1,180.25,"STEINKE_COI"
-179.75,20.75,1,180.25,"STEINKE_COI"
-179.75,25.75,1,180.25,"STEINKE_COI"
-179.75,26.25,1,180.25,"STEINKE_COI"
-179.75,26.75,1,180.25,"STEINKE_COI"
-179.75,27.25,1,180.25,"STEINKE_COI"
-179.75,28.25,1,180.25,"STEINKE_COI"
-179.75,28.75,2,180.25,"STEINKE_COI"
-179.75,29.25,1,180.25,"STEINKE_COI"
-179.75,29.75,1,180.25,"STEINKE_COI"
-179.75,30.25,1,180.25,"STEINKE_COI"
-179.75,31.75,2,180.25,"STEINKE_COI"
-179.75,32.75,2,180.25,"STEINKE_COI"
-179.75,33.25,1,180.25,"STEINKE_COI"
-179.75,33.75,1,180.25,"STEINKE_COI"
-179.75,34.25,3,180.25,"STEINKE_COI"
-179.75,35.25,1,180.25,"STEINKE_COI"
-179.75,36.75,1,180.25,"STEINKE_COI"
-179.75,37.75,1,180.25,"STEINKE_COI"
-179.75,38.25,1,180.25,"STEINKE_COI"
-179.75,39.25,1,180.25,"STEINKE_COI"
-179.75,39.75,1,180.25,"STEINKE_COI"
-179.75,40.25,2,180.25,"STEINKE_COI"
-179.75,42.25,1,180.25,"STEINKE_COI"
-179.75,42.75,1,180.25,"STEINKE_COI"
-179.75,45.25,1,180.25,"STEINKE_COI"
-179.75,45.75,2,180.25,"STEINKE_COI"
-179.75,46.25,1,180.25,"STEINKE_COI"
-179.75,47.25,1,180.25,"STEINKE_COI"
-179.75,48.25,1,180.25,"STEINKE_COI"
-179.75,48.75,1,180.25,"STEINKE_COI"
-179.75,49.25,4,180.25,"STEINKE_COI"
-179.75,49.75,4,180.25,"STEINKE_COI"
-179.75,50.25,2,180.25,"STEINKE_COI"
-179.75,50.75,4,180.25,"STEINKE_COI"
-179.75,51.25,5,180.25,"STEINKE_COI"
-179.75,51.75,4,180.25,"STEINKE_COI"
-179.75,52.25,5,180.25,"STEINKE_COI"
-179.75,53.25,5,180.25,"STEINKE_COI"
-179.75,53.75,2,180.25,"STEINKE_COI"
-179.75,54.75,2,180.25,"STEINKE_COI"
-179.75,55.25,1,180.25,"STEINKE_COI"
-179.75,55.75,1,180.25,"STEINKE_COI"
-179.75,56.25,2,180.25,"STEINKE_COI"
-179.75,56.75,1,180.25,"STEINKE_COI"
-179.75,57.75,2,180.25,"STEINKE_COI"
-179.75,58.25,1,180.25,"STEINKE_COI"
