"Lon","Lat","impact","lon2","seizure"
-179.25,-57.75,1,180.75,"STEINKE_COI"
-179.25,-53.75,1,180.75,"STEINKE_COI"
-179.25,-53.25,2,180.75,"STEINKE_COI"
-179.25,-52.75,1,180.75,"STEINKE_COI"
-179.25,-51.75,1,180.75,"STEINKE_COI"
-179.25,-51.25,1,180.75,"STEINKE_COI"
-179.25,-48.25,1,180.75,"STEINKE_COI"
-179.25,-47.75,1,180.75,"STEINKE_COI"
-179.25,-47.25,1,180.75,"STEINKE_COI"
-179.25,-46.75,1,180.75,"STEINKE_COI"
-179.25,-46.25,1,180.75,"STEINKE_COI"
-179.25,-45.25,1,180.75,"STEINKE_COI"
-179.25,-44.25,2,180.75,"STEINKE_COI"
-179.25,-43.75,1,180.75,"STEINKE_COI"
-179.25,-42.75,2,180.75,"STEINKE_COI"
-179.25,-42.25,2,180.75,"STEINKE_COI"
-179.25,-41.25,2,180.75,"STEINKE_COI"
-179.25,-40.75,1,180.75,"STEINKE_COI"
-179.25,-40.25,1,180.75,"STEINKE_COI"
-179.25,-39.25,1,180.75,"STEINKE_COI"
-179.25,-38.75,1,180.75,"STEINKE_COI"
-179.25,-38.25,3,180.75,"STEINKE_COI"
-179.25,-37.75,1,180.75,"STEINKE_COI"
-179.25,-37.25,3,180.75,"STEINKE_COI"
-179.25,-36.25,1,180.75,"STEINKE_COI"
-179.25,-35.75,5,180.75,"STEINKE_COI"
-179.25,-35.25,1,180.75,"STEINKE_COI"
-179.25,-34.75,2,180.75,"STEINKE_COI"
-179.25,-34.25,1,180.75,"STEINKE_COI"
-179.25,-33.25,2,180.75,"STEINKE_COI"
-179.25,-32.75,2,180.75,"STEINKE_COI"
-179.25,-32.25,1,180.75,"STEINKE_COI"
-179.25,-31.75,4,180.75,"STEINKE_COI"
-179.25,-31.25,2,180.75,"STEINKE_COI"
-179.25,-30.75,1,180.75,"STEINKE_COI"
-179.25,-29.75,1,180.75,"STEINKE_COI"
-179.25,-28.25,2,180.75,"STEINKE_COI"
-179.25,-27.75,1,180.75,"STEINKE_COI"
-179.25,-27.25,1,180.75,"STEINKE_COI"
-179.25,-26.75,1,180.75,"STEINKE_COI"
-179.25,-25.75,1,180.75,"STEINKE_COI"
-179.25,-25.25,2,180.75,"STEINKE_COI"
-179.25,-24.75,1,180.75,"STEINKE_COI"
-179.25,-23.75,1,180.75,"STEINKE_COI"
-179.25,-23.25,3,180.75,"STEINKE_COI"
-179.25,-22.75,1,180.75,"STEINKE_COI"
-179.25,-22.25,2,180.75,"STEINKE_COI"
-179.25,-21.25,1,180.75,"STEINKE_COI"
-179.25,-20.25,1,180.75,"STEINKE_COI"
-179.25,-19.75,1,180.75,"STEINKE_COI"
-179.25,-19.25,1,180.75,"STEINKE_COI"
-179.25,-18.75,1,180.75,"STEINKE_COI"
-179.25,-18.25,2,180.75,"STEINKE_COI"
-179.25,-17.75,1,180.75,"STEINKE_COI"
-179.25,-17.25,1,180.75,"STEINKE_COI"
-179.25,-16.75,4,180.75,"STEINKE_COI"
-179.25,-16.25,2,180.75,"STEINKE_COI"
-179.25,-13.75,1,180.75,"STEINKE_COI"
-179.25,-11.75,1,180.75,"STEINKE_COI"
-179.25,-11.25,1,180.75,"STEINKE_COI"
-179.25,-7.75,2,180.75,"STEINKE_COI"
-179.25,-7.25,1,180.75,"STEINKE_COI"
-179.25,-6.75,1,180.75,"STEINKE_COI"
-179.25,-5.75,2,180.75,"STEINKE_COI"
-179.25,-5.25,2,180.75,"STEINKE_COI"
-179.25,-4.75,1,180.75,"STEINKE_COI"
-179.25,-4.25,2,180.75,"STEINKE_COI"
-179.25,-3.75,1,180.75,"STEINKE_COI"
-179.25,-2.75,1,180.75,"STEINKE_COI"
-179.25,-1.75,2,180.75,"STEINKE_COI"
-179.25,-0.75,3,180.75,"STEINKE_COI"
-179.25,-0.25,1,180.75,"STEINKE_COI"
-179.25,1.25,3,180.75,"STEINKE_COI"
-179.25,1.75,1,180.75,"STEINKE_COI"
-179.25,2.25,2,180.75,"STEINKE_COI"
-179.25,2.75,5,180.75,"STEINKE_COI"
-179.25,4.75,1,180.75,"STEINKE_COI"
-179.25,5.75,1,180.75,"STEINKE_COI"
-179.25,7.75,1,180.75,"STEINKE_COI"
-179.25,8.75,1,180.75,"STEINKE_COI"
-179.25,9.25,1,180.75,"STEINKE_COI"
-179.25,11.25,1,180.75,"STEINKE_COI"
-179.25,12.25,3,180.75,"STEINKE_COI"
-179.25,12.75,3,180.75,"STEINKE_COI"
-179.25,13.25,1,180.75,"STEINKE_COI"
-179.25,13.75,2,180.75,"STEINKE_COI"
-179.25,14.75,1,180.75,"STEINKE_COI"
-179.25,15.25,2,180.75,"STEINKE_COI"
-179.25,16.25,2,180.75,"STEINKE_COI"
-179.25,16.75,1,180.75,"STEINKE_COI"
-179.25,18.25,1,180.75,"STEINKE_COI"
-179.25,19.75,1,180.75,"STEINKE_COI"
-179.25,20.25,2,180.75,"STEINKE_COI"
-179.25,20.75,1,180.75,"STEINKE_COI"
-179.25,21.25,6,180.75,"STEINKE_COI"
-179.25,22.25,1,180.75,"STEINKE_COI"
-179.25,22.75,3,180.75,"STEINKE_COI"
-179.25,23.25,2,180.75,"STEINKE_COI"
-179.25,23.75,3,180.75,"STEINKE_COI"
-179.25,24.25,2,180.75,"STEINKE_COI"
-179.25,26.25,2,180.75,"STEINKE_COI"
-179.25,26.75,2,180.75,"STEINKE_COI"
-179.25,27.25,1,180.75,"STEINKE_COI"
-179.25,27.75,1,180.75,"STEINKE_COI"
-179.25,28.25,3,180.75,"STEINKE_COI"
-179.25,29.25,2,180.75,"STEINKE_COI"
-179.25,31.25,1,180.75,"STEINKE_COI"
-179.25,31.75,2,180.75,"STEINKE_COI"
-179.25,32.25,3,180.75,"STEINKE_COI"
-179.25,32.75,1,180.75,"STEINKE_COI"
-179.25,34.25,1,180.75,"STEINKE_COI"
-179.25,34.75,1,180.75,"STEINKE_COI"
-179.25,35.25,1,180.75,"STEINKE_COI"
-179.25,36.25,1,180.75,"STEINKE_COI"
-179.25,36.75,1,180.75,"STEINKE_COI"
-179.25,37.25,3,180.75,"STEINKE_COI"
-179.25,37.75,4,180.75,"STEINKE_COI"
-179.25,38.25,1,180.75,"STEINKE_COI"
-179.25,38.75,3,180.75,"STEINKE_COI"
-179.25,40.25,2,180.75,"STEINKE_COI"
-179.25,40.75,2,180.75,"STEINKE_COI"
-179.25,41.25,1,180.75,"STEINKE_COI"
-179.25,41.75,2,180.75,"STEINKE_COI"
-179.25,42.25,1,180.75,"STEINKE_COI"
-179.25,43.25,1,180.75,"STEINKE_COI"
