study,probability,count,region
FEITOSA_COI,0,18039,eez
FEITOSA_COI,0.05,2525,eez
FEITOSA_COI,0.1,691,eez
FEITOSA_COI,0.15,382,eez
FEITOSA_COI,0.2,243,eez
FEITOSA_COI,0.25,278,eez
FEITOSA_COI,0.3,215,eez
FEITOSA_COI,0.35,160,eez
FEITOSA_COI,0.4,211,eez
FEITOSA_COI,0.45,144,eez
FEITOSA_COI,0.5,159,eez
FEITOSA_COI,0.55,126,eez
FEITOSA_COI,0.6,73,eez
FEITOSA_COI,0.65,81,eez
FEITOSA_COI,0.7,29,eez
FEITOSA_COI,0.75,19,eez
FEITOSA_COI,0.8,11,eez
FEITOSA_COI,0.85,11,eez
FEITOSA_COI,0.9,5,eez
FEITOSA_COI,0.95,1,eez
FEITOSA_COI,0,15393,highseas
FEITOSA_COI,0.05,13,highseas
FEITOSA_COI,0.1,2,highseas
FIELDS_COI,0,20768,eez
FIELDS_COI,0.05,5974,eez
FIELDS_COI,0.1,6080,eez
FIELDS_COI,0.15,1538,eez
FIELDS_COI,0.2,1063,eez
FIELDS_COI,0.25,1543,eez
FIELDS_COI,0.3,682,eez
FIELDS_COI,0.35,1062,eez
FIELDS_COI,0.4,397,eez
FIELDS_COI,0.45,381,eez
FIELDS_COI,0.5,525,eez
FIELDS_COI,0.55,208,eez
FIELDS_COI,0.6,244,eez
FIELDS_COI,0.65,58,eez
FIELDS_COI,0.7,49,eez
FIELDS_COI,0.75,49,eez
FIELDS_COI,0.8,10,eez
FIELDS_COI,0.85,11,eez
FIELDS_COI,0.9,2,eez
FIELDS_COI,1,3,eez
FIELDS_COI,0,39985,highseas
FIELDS_COI,0.05,8168,highseas
FIELDS_COI,0.1,5223,highseas
FIELDS_COI,0.15,546,highseas
FIELDS_COI,0.2,187,highseas
FIELDS_COI,0.25,99,highseas
FIELDS_COI,0.3,6,highseas
FIELDS_COI,0.35,6,highseas
FIELDS_COI,0.4,1,highseas
FIELDS_COI,0.45,1,highseas
FIELDS_COI,0.7,1,highseas
MBA_COI,0,22923,eez
MBA_COI,0.05,4129,eez
MBA_COI,0.1,2574,eez
MBA_COI,0.15,2621,eez
MBA_COI,0.2,1328,eez
MBA_COI,0.25,1016,eez
MBA_COI,0.3,807,eez
MBA_COI,0.35,388,eez
MBA_COI,0.4,269,eez
MBA_COI,0.45,141,eez
MBA_COI,0.5,91,eez
MBA_COI,0.55,31,eez
MBA_COI,0.6,19,eez
MBA_COI,0.65,16,eez
MBA_COI,0.7,7,eez
MBA_COI,0.75,6,eez
MBA_COI,0.8,3,eez
MBA_COI,0.85,3,eez
MBA_COI,0.9,1,eez
MBA_COI,1,1,eez
MBA_COI,0,34374,highseas
MBA_COI,0.05,1025,highseas
MBA_COI,0.1,65,highseas
MBA_COI,0.15,21,highseas
MBA_COI,0.2,8,highseas
MBA_COI,0.25,3,highseas
MBA_COI,0.3,5,highseas
MBA_COI,0.35,2,highseas
MBA_COI,0.4,1,highseas
STEINKE_COI,0,25717,eez
STEINKE_COI,0.05,5233,eez
STEINKE_COI,0.1,2298,eez
STEINKE_COI,0.15,1349,eez
STEINKE_COI,0.2,762,eez
STEINKE_COI,0.25,698,eez
STEINKE_COI,0.3,410,eez
STEINKE_COI,0.35,383,eez
STEINKE_COI,0.4,384,eez
STEINKE_COI,0.45,396,eez
STEINKE_COI,0.5,535,eez
STEINKE_COI,0.55,305,eez
STEINKE_COI,0.6,210,eez
STEINKE_COI,0.65,152,eez
STEINKE_COI,0.7,102,eez
STEINKE_COI,0.75,78,eez
STEINKE_COI,0.8,23,eez
STEINKE_COI,0.85,16,eez
STEINKE_COI,0.9,3,eez
STEINKE_COI,0.95,2,eez
STEINKE_COI,1,1,eez
STEINKE_COI,0,44517,highseas
STEINKE_COI,0.05,4233,highseas
STEINKE_COI,0.1,476,highseas
STEINKE_COI,0.15,40,highseas
STEINKE_COI,0.2,14,highseas
STEINKE_COI,0.25,8,highseas
STEINKE_COI,0.3,4,highseas
STEINKE_COI,0.35,2,highseas
STEINKE_COI,0.4,2,highseas
STEINKE_COI,0.45,5,highseas
STEINKE_COI,0.5,4,highseas
STEINKE_COI,0.55,1,highseas
STEINKE_COI,0.6,1,highseas
STEINKE_COI,0.75,1,highseas
